subject,trial,sound,wordcond,stroop,response,distractor,error
115,13,candle,ff,inc,3,3,1
115,14,lipstick,cog,inc,32,14,0
115,15,balloon,ff,inc,17,1,0
115,16,pig,cog,inc,23,16,0
115,17,apple,cog,con,22,9,0
115,18,dragon,cog,con,18,12,0
115,19,leparts,neutral,inc,6,19,1
115,20,drawer,cog,con,31,13,0
115,21,train,ff,inc,28,8,0
115,22,chimney,ff,con,26,4,0
115,23,match,ff,con,7,7,1
115,24,merdant,neutral,con,25,20,1
117,1,cross,cog,con,5,20,0
117,2,button,ff,inc,11,30,0
117,3,camel,cog,inc,2,21,0
117,4,sardrobe,neutral,con,22,31,0
117,5,thet,neutral,con,24,6,0
117,6,backbund,neutral,inc,17,28,0
117,7,spenlers,neutral,inc,23,11,0
117,8,key,cog,con,6,27,0
117,9,rav,neutral,inc,21,25,0
117,10,lock,ff,inc,16,19,1
117,11,hellfime,neutral,con,18,29,0
117,12,box,ff,con,10,29,0
117,13,candle,cog,inc,15,25,1
117,14,lipstick,ff,inc,16,32,1
117,15,balloon,cog,inc,1,17,0
117,16,pig,ff,inc,16,23,0
117,17,apple,ff,con,9,22,0
117,18,dragon,ff,con,12,18,0
117,19,leparts,neutral,inc,20,32,1
117,20,drawer,ff,con,13,31,0
117,21,train,cog,inc,8,28,0
117,22,chimney,cog,con,4,26,0
117,23,match,cog,con,7,24,0
117,24,merdant,neutral,con,20,4,0
118,1,cross,cog,inc,5,20,0
118,2,button,ff,con,11,30,0
118,3,camel,cog,con,2,21,0
118,4,sardrobe,neutral,inc,22,31,0
118,5,thet,neutral,inc,24,6,0
118,6,backbund,neutral,con,17,28,0
118,7,spenlers,neutral,con,23,11,0
118,8,key,cog,inc,6,27,0
118,9,rav,neutral,con,21,25,0
118,10,lock,ff,con,15,19,0
118,11,hellfime,neutral,inc,18,29,0
118,12,box,ff,inc,10,29,0
118,13,candle,cog,con,3,25,0
118,14,lipstick,ff,con,14,32,0
118,15,balloon,cog,con,1,17,0
118,16,pig,ff,con,16,23,0
118,17,apple,ff,inc,9,22,0
118,18,dragon,ff,inc,12,18,0
118,19,leparts,neutral,con,19,32,0
118,20,drawer,ff,inc,13,31,0
118,21,train,cog,con,8,28,0
118,22,chimney,cog,inc,4,26,0
118,23,match,cog,inc,7,24,0
118,24,merdant,neutral,inc,20,4,0
119,1,cross,ff,con,20,5,0
119,2,button,cog,inc,30,11,0
119,3,camel,ff,inc,21,2,0
119,4,sardrobe,neutral,con,15,22,1
119,5,thet,neutral,con,14,24,1
119,6,backbund,neutral,inc,1,17,1
119,7,spenlers,neutral,inc,15,23,1
119,8,key,ff,con,27,6,0
119,9,rav,neutral,inc,14,21,1
119,10,lock,cog,inc,19,15,0
119,11,hellfime,neutral,con,2,18,1
119,12,box,cog,con,29,10,0
119,13,candle,ff,inc,3,3,1
119,14,lipstick,cog,inc,32,14,0
119,15,balloon,ff,inc,17,1,0
119,16,pig,cog,inc,23,16,0
119,17,apple,cog,con,22,9,0
119,18,dragon,cog,con,18,12,0
119,19,leparts,neutral,inc,6,19,1
119,20,drawer,cog,con,31,13,0
119,21,train,ff,inc,28,8,0
119,22,chimney,ff,con,26,4,0
119,23,match,ff,con,24,7,0
119,24,merdant,neutral,con,7,20,1
122,1,cross,cog,inc,5,20,0
122,1,cross,cog,con,5,20,0
122,2,button,ff,con,11,30,0
122,2,button,ff,inc,11,30,0
122,3,camel,cog,con,2,21,0
122,3,camel,cog,inc,2,21,0
122,4,sardrobe,neutral,inc,22,31,0
122,4,sardrobe,neutral,con,22,31,0
122,5,thet,neutral,inc,24,6,0
122,5,thet,neutral,con,24,6,0
122,6,backbund,neutral,con,17,28,0
122,6,backbund,neutral,inc,17,28,0
122,7,spenlers,neutral,con,23,11,0
122,7,spenlers,neutral,inc,23,11,0
122,8,key,cog,inc,6,27,0
122,8,key,cog,con,6,27,0
122,9,rav,neutral,con,21,25,0
122,9,rav,neutral,inc,21,25,0
122,10,lock,ff,con,15,19,0
122,10,lock,ff,inc,16,19,1
122,11,hellfime,neutral,inc,18,29,0
122,11,hellfime,neutral,con,18,29,0
122,12,box,ff,inc,10,29,0
122,12,box,ff,con,10,29,0
122,13,candle,cog,con,3,25,0
122,13,candle,cog,inc,3,25,0
122,14,lipstick,ff,con,14,32,0
122,14,lipstick,ff,inc,14,32,0
122,15,balloon,cog,con,1,17,0
122,15,balloon,cog,inc,1,17,0
122,16,pig,ff,con,16,23,0
122,16,pig,ff,inc,15,23,1
122,17,apple,ff,inc,9,22,0
122,17,apple,ff,con,9,22,0
122,18,dragon,ff,inc,12,18,0
122,18,dragon,ff,con,12,18,0
122,19,leparts,neutral,con,19,32,0
122,19,leparts,neutral,inc,19,32,0
122,20,drawer,ff,inc,13,31,0
122,20,drawer,ff,con,13,31,0
122,21,train,cog,con,8,28,0
122,21,train,cog,inc,8,28,0
122,22,chimney,cog,inc,4,26,0
122,22,chimney,cog,con,4,26,0
122,23,match,cog,inc,7,24,0
122,23,match,cog,con,7,24,0
122,24,merdant,neutral,inc,20,4,0
122,24,merdant,neutral,con,20,4,0
123,1,cross,ff,con,20,5,0
123,2,button,cog,inc,30,11,0
123,3,camel,ff,inc,2,2,1
123,4,sardrobe,neutral,con,15,22,1
123,5,thet,neutral,con,13,24,1
123,6,backbund,neutral,inc,12,17,1
123,7,spenlers,neutral,inc,14,23,1
123,8,key,ff,con,13,6,1
123,9,rav,neutral,inc,14,21,1
123,10,lock,cog,inc,19,15,0
123,11,hellfime,neutral,con,12,18,1
123,12,box,cog,con,29,10,0
123,13,candle,ff,inc,3,3,1
123,14,lipstick,cog,inc,32,14,0
123,15,balloon,ff,inc,17,1,0
123,16,pig,cog,inc,23,16,0
123,17,apple,cog,con,22,9,0
123,18,dragon,cog,con,18,12,0
123,19,leparts,neutral,inc,12,19,1
123,20,drawer,cog,con,31,13,0
123,21,train,ff,inc,8,8,1
123,22,chimney,ff,con,26,4,0
123,23,match,ff,con,24,7,0
123,24,merdant,neutral,con,7,20,1
124,1,cross,cog,con,5,20,0
124,2,button,ff,inc,11,30,0
124,3,camel,cog,inc,2,21,0
124,4,sardrobe,neutral,con,22,31,0
124,5,thet,neutral,con,24,6,0
124,6,backbund,neutral,inc,17,28,0
124,7,spenlers,neutral,inc,22,11,1
124,8,key,cog,con,6,27,0
124,9,rav,neutral,inc,21,25,0
124,10,lock,ff,inc,15,19,0
124,11,hellfime,neutral,con,18,29,0
124,12,box,ff,con,10,29,0
124,13,candle,cog,inc,25,25,1
124,14,lipstick,ff,inc,14,32,0
124,15,balloon,cog,inc,1,17,0
124,16,pig,ff,inc,16,23,0
124,17,apple,ff,con,9,22,0
124,18,dragon,ff,con,12,18,0
124,19,leparts,neutral,inc,19,32,0
124,20,drawer,ff,con,13,31,0
124,21,train,cog,inc,8,28,0
124,22,chimney,cog,con,4,26,0
124,23,match,cog,con,7,24,0
124,24,merdant,neutral,con,20,4,0
126,1,cross,cog,inc,5,20,0
126,2,button,ff,con,11,30,0
126,3,camel,cog,con,2,21,0
126,4,sardrobe,neutral,inc,22,31,0
126,5,thet,neutral,inc,21,6,1
126,6,backbund,neutral,con,19,28,1
126,7,spenlers,neutral,con,23,11,0
126,8,key,cog,inc,6,27,0
126,9,rav,neutral,con,21,25,0
126,10,lock,ff,con,15,19,0
126,11,hellfime,neutral,inc,24,29,1
126,12,box,ff,inc,10,29,0
126,13,candle,cog,con,16,25,1
126,14,lipstick,ff,con,14,32,0
126,15,balloon,cog,con,1,17,0
126,16,pig,ff,con,25,23,1
126,17,apple,ff,inc,9,22,0
126,18,dragon,ff,inc,12,18,0
126,19,leparts,neutral,con,29,32,1
126,20,drawer,ff,inc,13,31,0
126,21,train,cog,con,8,28,0
126,22,chimney,cog,inc,4,26,0
126,23,match,cog,inc,7,24,0
126,24,merdant,neutral,inc,30,4,1
127,1,cross,ff,con,20,5,0
127,2,button,cog,inc,30,11,0
127,3,camel,ff,inc,14,2,1
127,4,sardrobe,neutral,con,15,22,1
127,5,thet,neutral,con,2,24,1
127,6,backbund,neutral,inc,14,17,1
127,7,spenlers,neutral,inc,12,23,1
127,8,key,ff,con,27,6,0
127,9,rav,neutral,inc,14,21,1
127,10,lock,cog,inc,19,15,0
127,11,hellfime,neutral,con,1,18,1
127,12,box,cog,con,29,10,0
127,13,candle,ff,inc,25,3,0
127,14,lipstick,cog,inc,32,14,0
127,15,balloon,ff,inc,17,1,0
127,16,pig,cog,inc,23,16,0
127,17,apple,cog,con,22,9,0
127,18,dragon,cog,con,18,12,0
127,19,leparts,neutral,inc,2,19,1
127,20,drawer,cog,con,31,13,0
127,21,train,ff,inc,28,8,0
127,22,chimney,ff,con,4,4,1
127,23,match,ff,con,24,7,0
127,24,merdant,neutral,con,12,20,1
128,1,cross,cog,con,5,20,0
128,2,button,ff,inc,11,30,0
128,3,camel,cog,inc,2,21,0
128,4,sardrobe,neutral,con,22,31,0
128,5,thet,neutral,con,24,6,0
128,6,backbund,neutral,inc,17,28,0
128,7,spenlers,neutral,inc,23,11,0
128,8,key,cog,con,6,27,0
128,9,rav,neutral,inc,21,25,0
128,10,lock,ff,inc,15,19,0
128,11,hellfime,neutral,con,18,29,0
128,12,box,ff,con,10,29,0
128,13,candle,cog,inc,14,25,1
128,14,lipstick,ff,inc,14,32,0
128,15,balloon,cog,inc,1,17,0
128,16,pig,ff,inc,16,23,0
128,17,apple,ff,con,9,22,0
128,18,dragon,ff,con,12,18,0
128,19,leparts,neutral,inc,19,32,0
128,20,drawer,ff,con,13,31,0
128,21,train,cog,inc,8,28,0
128,22,chimney,cog,con,4,26,0
128,23,match,cog,con,7,24,0
128,24,merdant,neutral,con,20,4,0
135,1,cross,ff,inc,20,5,0
135,2,button,cog,con,30,11,0
135,3,camel,ff,con,2,2,1
135,4,sardrobe,neutral,inc,15,22,0
135,5,thet,neutral,inc,13,24,0
135,6,backbund,neutral,con,1,17,0
135,7,spenlers,neutral,con,2,23,1
135,8,key,ff,inc,27,6,0
135,9,rav,neutral,con,14,21,0
135,10,lock,cog,con,19,15,0
135,11,hellfime,neutral,inc,2,18,0
135,12,box,cog,inc,29,10,0
135,13,candle,ff,con,3,25,0
135,14,lipstick,cog,con,32,14,0
135,15,balloon,ff,con,17,1,0
135,16,pig,cog,con,23,16,0
135,17,apple,cog,inc,22,9,0
135,18,dragon,cog,inc,18,12,0
135,19,leparts,neutral,con,6,19,0
135,20,drawer,cog,inc,31,13,0
135,21,train,ff,con,28,28,1
135,22,chimney,ff,inc,26,4,0
135,23,match,ff,inc,24,7,0
135,24,merdant,neutral,inc,7,20,0
136,1,cross,ff,inc,20,5,0
136,2,button,cog,con,30,11,0
136,3,camel,ff,con,21,2,0
136,4,sardrobe,neutral,inc,15,22,0
136,5,thet,neutral,inc,6,24,1
136,6,backbund,neutral,con,1,17,0
136,7,spenlers,neutral,con,12,23,0
136,8,key,ff,inc,13,6,1
136,9,rav,neutral,con,14,21,0
136,10,lock,cog,con,19,15,0
136,11,hellfime,neutral,inc,2,18,0
136,12,box,cog,inc,29,10,0
136,13,candle,ff,con,3,25,0
136,14,lipstick,cog,con,32,14,0
136,15,balloon,ff,con,17,1,0
136,16,pig,cog,con,23,16,0
